,Min,Max,Mean,Rms,Var,Std,Peak,P2p,CrestFactor,Skew,Kurtosis,FormFactor,PulseIndicator,Max_f,Sum_f,Mean_f,Var_f,Peak_f
53,-12840,26752,4739.072,10442.511307662859,86587238.98948267,9305.226434079004,26752,39592,2.5618358660879794,0.3321244359590848,1.6538867400118977,2.203492858446307,5.644987035436474,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
54,-15604,26376,4402.618666666666,10493.994748489888,90740874.65725155,9525.800473306774,26376,41980,2.513437507084285,0.3864844648446154,1.6739571532321762,2.3835802150984735,5.990979913772531,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
55,-12964,24532,5177.76,10447.237138050743,82335565.20106667,9073.894709608805,24532,37496,2.3481806410471897,0.319174245349185,1.6675126272948657,2.0177136711726193,4.7379561818238,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
56,-14672,24344,5752.693333333334,10475.5849987801,76644400.47928889,8754.678776476547,24344,39016,2.3238797645033573,0.23888957219575035,1.759407598578576,1.8209879080604734,4.231756950947035,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
57,-11440,23532,5328.170666666667,10445.536616182053,80719832.5468729,8984.42165900916,23532,34972,2.252828252360402,0.2272431254969558,1.6577925918875678,1.9604358174053833,4.416525196390105,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
58,-14372,30320,5605.466666666666,10496.530634960614,78755898.81955555,8874.452029255415,30320,44692,2.8885734776987833,0.2345756793731924,1.8227101465222935,1.8725525026094674,5.4090054946361885,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
59,-16192,23744,4836.696,10386.351704424418,84482673.53158401,9191.445671469968,23744,39936,2.2860770245133755,0.0035692430865488767,1.7084995422687703,2.1474063502077487,4.909136319504058,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
60,-12040,32696,6519.96,10709.173275530344,72176513.84373334,8495.676185197583,32696,44736,3.053083478881409,-0.5330751591147275,2.886107623801023,1.6425213153961595,5.0147546917465755,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
61,-11500,25244,6597.578666666666,10551.701801194598,67810366.63847822,8234.705012231963,25244,36744,2.3924102932042706,-0.50949360619999,2.52791347462414,1.5993294410426024,3.826252216974955,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
62,-10032,31284,6226.789333333333,10658.337562428142,74827254.19295289,8650.274804476034,31284,41316,2.9351669354402583,-0.19427720004745194,2.2824911646113066,1.7116907272535757,5.024098026334385,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
63,-11328,32380,5505.066666666667,10639.899750906177,82901707.7048889,9105.037490581184,32380,43708,3.043261756036965,-0.19841307416180023,2.1011098911992843,1.932746757697063,5.881854291803914,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
64,-10944,27140,4747.312,10647.554181501026,90833438.822656,9530.657837875411,27140,38084,2.5489421830933545,0.021582178918520066,1.8533388029886275,2.2428595764299937,5.716919385117304,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
65,-9500,32767,4884.148666666667,10707.20044235031,90789233.11456488,9528.338423595422,32767,42267,3.0602770702224196,0.16380182386359557,1.8743446058134514,2.192234752276236,6.708845744935692,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
66,-10892,27436,4381.482666666667,10623.414149509563,93659537.83369957,9677.785791889566,27436,38328,2.5825972341732157,0.07699501910263672,1.7476406563339468,2.4246162675320173,6.261807266459573,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
67,-9760,27600,5292.306666666666,10622.796578930302,84835297.30328889,9210.607868283661,27600,37360,2.5981858727054035,0.0024281180324573375,1.82583040324936,2.0072148588511443,5.215117289751413,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
68,-10832,32767,5871.3966666666665,10634.54482414112,78620244.79932222,8866.805783331572,32767,43599,3.081185000566902,-0.20983087277701054,2.171531931212856,1.8112461868767942,5.580784583338774,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
69,-12944,25164,5494.0453333333335,10629.770922084823,82807495.73127823,9099.862401777194,25164,38108,2.367313480643153,-0.2652454093966384,2.102098833305741,1.9347803443834262,4.580231591342287,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
70,-10596,32767,4655.225333333334,10715.035114019303,93140854.59055823,9650.950968197809,32767,43363,3.0580394418986474,0.00474376946410804,1.9323848844995049,2.3017221180025875,7.0387570211424055,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
71,-9980,22396,4953.314666666667,10587.46424787352,87559073.01298489,9357.300519540071,22396,32376,2.115331818428403,-0.08987635079431265,1.7720604933784554,2.1374503661400444,4.521416769807477,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
72,-12928,23108,4800.712,10537.761058086928,87997572.41038933,9380.702127793491,23108,36036,2.192875685131081,-0.34316207957962097,2.093071534407994,2.1950412893101956,4.813452671187107,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
73,-13292,25760,4371.157333333334,10550.785538401078,92212059.04457957,9602.71102577702,25760,39052,2.4415243686114962,-0.33369001466819775,2.087035928294757,2.4137281579739702,5.8931761168971875,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
74,-14124,23152,4689.837333333333,10620.738587248377,90805513.92553957,9529.192721607616,23152,37276,2.1798860606358472,-0.3771562485045675,2.2554256175234824,2.264628351128677,4.936631775146147,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
75,-13568,24912,4039.8106666666667,10584.504010675228,95711654.92948623,9783.233357611696,24912,38480,2.353629416633455,-0.28690670846826677,1.995682756909468,2.6200495231150835,6.166625630640116,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
76,-13764,22592,4534.605333333333,10581.527406318364,91406076.72157155,9560.652525929992,22592,36356,2.1350414862139875,-0.29899215351592934,2.0766873324114243,2.333505703028848,4.982131484283528,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
77,-12532,25600,5738.461333333334,10594.767428499787,79319158.38983822,8906.130382485888,25600,38132,2.4162871127436296,-0.4374832352395221,2.410420905206264,1.8462732103738935,4.461126164830247,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
